Iteam-Number,Iteam-Name,Stock Balance,Iteam-type,Purchase Price,Selling Price,Production Date,Expiry Date
1168,Mana Grilled Pea Chips 40 g (1�60),19,Inventory Item,119.6,186.37,10/12/2023,5/10/2025
1169,Maggi Soup Cubes (Egyptian),3448,Inventory Item,67.54,88.85,10/21/2024,9/1/2027
1170,Krouz Sugar (Shalla + Al-Raya + Al-Safi) (1�10),7821,Inventory Item,92.74,116.8,10/8/2023,7/19/2024
1171,Dondurma Juice Sticks (100 sachets � 10�10),353,Inventory Item,113.48,157.86,4/17/2025,1/6/2026
1172,Rima Toilet Paper 32 Rolls with Gift (1�4),625,Inventory Item,102.26,131.46,4/10/2025,5/8/2026
1173,Ganoosh Cake Round (1�6),22,Inventory Item,31.19,43.68,6/13/2023,4/8/2024
1174,Chicks Biscuits (1�6),380,Inventory Item,55.16,80.14,6/16/2025,4/23/2026
1175,Fernano 3 kg Barrel,4,Inventory Item,17.24,24.9,8/12/2023,6/6/2026
1176,Fernano 800 Creamy 1 kg,1,Inventory Item,114.58,147.5,2/22/2025,3/5/2026
1177,Fernano 700 Rubesco 1 kg,9,Inventory Item,73.53,87.02,5/26/2023,12/10/2023
1178,Fernano 600 Classico 1 kg,71,Inventory Item,28.98,38.12,5/17/2025,8/16/2027
1179,Fernano Filter Classic 1 kg,124,Inventory Item,81.26,95.18,1/30/2023,8/9/2023
1180,Fernano Filter Dark 1 kg,51,Inventory Item,74.94,115.79,2/14/2023,11/1/2023
1181,Fernano Chocolate Powder 1 kg,89,Inventory Item,44.26,56.34,2/25/2025,7/19/2026
1184,Al-Faisal Rice 10 kg (1�3),54,Inventory Item,15.4,18.13,4/15/2024,2/24/2027
1187,Sesame Biscuits (� Shekel) (1�6),12,Inventory Item,81.25,90.41,2/3/2023,9/13/2025
1188,Yafa Juice 1.5 L,208,Inventory Item,63.4,90.21,10/14/2024,5/8/2026
1189,Plastic Cola 250 ml (1�24),504,Inventory Item,93.13,132.1,3/2/2024,5/27/2026
1191,Black Flour 50 kg,8,Inventory Item,63.38,80.51,4/9/2025,8/8/2026
1194,Cadbury Dairy Milk 5 Star 48.5 g (1�48),9,Inventory Item,102.56,116.49,6/4/2025,8/24/2026
1197,Original Juice Carton 200 ml Small (1�27),6156,Inventory Item,67.13,87.59,8/9/2023,4/26/2025
1201,Cola 2 L Promo,315,Inventory Item,68.19,85.62,5/17/2025,1/27/2027
1202,Al-Awda Date Paste 700 g (1�20),138,Inventory Item,105.45,151.7,6/17/2024,5/27/2027
1203,Saad El-Din Tea Bags (1�36),106,Inventory Item,49.61,69.6,11/22/2024,3/3/2027
1206,Marina Mushrooms 290 g (4-pack) (1�48),72.75,Inventory Item,17.81,22.84,1/2/2024,10/18/2026
1207,Lux Wafer Bags (1�6),2.167,Inventory Item,5.4,6.53,4/20/2025,10/18/2025
1209,Coffee Joy (1�6),33.167,Inventory Item,91.11,145.23,1/12/2025,12/12/2026
1213,Zeta Pickled Cucumbers 18�25,0.5,Inventory Item,75.2,99.79,7/3/2024,1/30/2027
1214,Zeta Ketchup 550 g,62,Inventory Item,85.08,122.87,8/4/2024,11/12/2026
1215,Pomegranate Molasses 340 g (1�12),245.833,Inventory Item,27.13,31.75,4/26/2023,7/19/2025
1216,Amazon Tomatoes 400 g (1�24),7,Inventory Item,18.09,24.29,8/27/2023,12/27/2024
1218,Nido Low-Fat Milk 900 g (1�12),43,Inventory Item,3.72,4.14,12/1/2023,6/7/2026
1219,Why Not Sugar Candy 450 g (1�12),381.917,Inventory Item,43.37,58.67,3/16/2024,2/15/2026
1221,Brel Rice 25 kg,17,Inventory Item,71.61,113.29,5/28/2023,3/6/2025
1222,Freska Biscuits (1�8),328,Inventory Item,48.28,62.38,1/9/2023,2/4/2024
1224,Al-Alali Hot Chili Sauce 88 ml (1�36),1.611,Inventory Item,53.62,60.03,10/15/2023,8/1/2024
1225,Turkish Chocolate Gift Tin 500 g (1�8),3,Inventory Item,108.69,121.24,1/23/2024,7/28/2024
1226,Huggies Newborn Size 2,557,Inventory Item,43.09,55.76,2/19/2023,10/29/2025
1227,Kinder Chocolate 8 Fingers,287,Inventory Item,62.65,73.93,4/29/2025,2/14/2027
1228,KI 300 Spray (1�12),77.583,Inventory Item,94.47,105.02,5/31/2024,4/19/2027
1231,OKI Dishwashing Liquid 1 L (1�12),11,Inventory Item,48.79,72.12,5/4/2025,2/2/2027
1232,BOX Chips 70 g (24 pcs),36,Inventory Item,75.41,100.24,9/29/2024,12/5/2025
1235,Tekir Carbonated Drink 250 ml (1�24),774.417,Inventory Item,103.76,129.14,8/9/2024,7/15/2026
1237,Top One Chocolate Biscuits (1�6),12916,Inventory Item,114.04,176.77,11/7/2024,5/27/2027
1239,Nesquik Sandwich Biscuits 28 g (Chocolate + Milk) (1�12�16),300,Inventory Item,19.35,22.41,10/5/2023,6/13/2025
1240,Nesquik Sandwich Biscuits 56 g (Chocolate + Milk) (1�8�12),282,Inventory Item,111.34,175.69,4/15/2025,11/4/2027
1241,BOX Mix Chips 30 g (1 Shekel),80,Inventory Item,60.07,75.51,10/27/2023,8/25/2026
1242,BOX Tarabish Chips 30 g (1 Shekel),80,Inventory Item,32.47,50.14,3/12/2025,6/30/2027
1244,Merit Razor Blades (10 pcs) (1�40),121,Inventory Item,56.18,78.73,8/11/2024,9/30/2025
1245,Pitos Chips 40 g,228,Inventory Item,117.64,178.03,3/20/2025,7/18/2026
1247,King Bamba Chips 2 Shekel (25 pcs),55,Inventory Item,60.13,95.73,10/10/2024,7/29/2026
1249,Arwa Water Small 330 ml (1�24),1098,Inventory Item,40.79,50.75,9/9/2024,1/15/2027
1251,Comfort Fabric Softener 1.5 L (1�9),144,Inventory Item,76.74,121.29,8/29/2024,3/16/2025
1253,Fruit Loops Cereal 375 g (1�18),285,Inventory Item,30.34,39.28,5/15/2023,6/13/2024
1254,Merit Razor Blades (5 pcs) (1�40),45,Inventory Item,10.95,14.16,8/2/2024,6/2/2027
1255,Snickers Mini 15 g (72 pcs),45,Inventory Item,17.21,21.86,5/27/2023,4/5/2024
1256,Lipton Extra Strong Tea 100 Bags 220 g (�36),120,Inventory Item,17.11,23.45,5/4/2024,4/23/2027
1258,Blue Three Razor Stand,77,Inventory Item,19.92,23.45,4/22/2024,2/24/2025
1259,Pantene Hair Cream 200 ml,3,Inventory Item,18.38,25.31,6/8/2023,1/17/2025
1260,Marshmallow (48 pcs �5),4,Inventory Item,77.62,106.41,1/19/2024,9/11/2025
1266,Cheetos Chips,61,Inventory Item,23.46,34.74,6/12/2023,9/27/2024
1267,Lays Chips 40 g (2 Shekel) (1�48),1,Inventory Item,42.79,64.9,3/16/2024,5/15/2025
1268,Lipton Tea Small Pack 25 Bags (144 pcs),1174,Inventory Item,107.82,142.35,5/2/2025,9/29/2027
1271,Lays Chips 3 Shekel (Hot + Regular) (1�56),80,Inventory Item,57.93,72.48,7/8/2023,7/12/2025
1272,Galaxy Filled Dark + Vanilla 38 g,39,Inventory Item,80.77,99.32,2/19/2024,11/10/2024
1274,Cr�me Caramel (Zabana),35,Inventory Item,22.33,26.74,12/5/2023,12/9/2025
1275,Hospitality Tomatoes (Al-Raya) 135 g (1�48),274.167,Inventory Item,24.69,27.87,8/29/2024,6/16/2027
1276,Hospitality Mushrooms Whole 400 g (1�24),3,Inventory Item,6.82,8.67,6/30/2023,1/4/2025
1277,Al-Zahraa Powdered Sugar (1�12),9.667,Inventory Item,21.93,27.09,10/15/2023,7/1/2025
1278,Granulated Sugar 5 kg,10,Inventory Item,34.87,55.21,4/13/2025,10/22/2026
1279,Kinder Eggs (1�16�9),217,Inventory Item,22.89,31.56,7/6/2023,1/25/2025
1280,Alito Crocker Rings Corn Snacks 400 g (1�12),557.667,Inventory Item,12.47,15.88,6/2/2025,9/16/2027
1281,Mathieu Extra Biscuits (1�4),18,Inventory Item,16.24,22.58,5/18/2023,1/3/2024
1282,Excellent Coffee Whitener 400 g (10�12),220,Inventory Item,56.37,65.93,5/10/2023,7/4/2024
1283,Excellent Nescaf� 200 g (1�12),168,Inventory Item,26.35,34.84,7/13/2023,10/28/2024
1284,Bavaria Cans 500 ml (1�24),26.958,Inventory Item,44.98,63.56,11/12/2023,11/23/2025
1285,Bariq Cleaner 1 L,1,Inventory Item,61.4,82.55,2/23/2025,5/14/2026
1295,Duck Bathroom Cleaner Liquid 750 ml (1�12),1,Inventory Item,83.47,108.59,5/13/2025,3/8/2026
1296,Fernano Coffee Capsules (1�12 packs),32.083,Inventory Item,6.64,10.6,5/24/2023,10/31/2025
1297,Leto Croissant (1�6�24),457.833,Inventory Item,96.33,148.36,1/16/2023,3/18/2024
1298,White Snickers 49 g (24 pcs),22,Inventory Item,76.09,107.42,10/29/2023,7/4/2024
1299,Combo Veal Biscuits Round 60 g (1�6�24),12,Inventory Item,11.65,16.13,2/27/2024,12/25/2026
1300,Sanga Etty Chocolate Biscuits 32 g (1�6�24),41,Inventory Item,105.08,148.2,9/2/2023,4/25/2024
1301,Senqurt Corn 340 g (1�24),8,Inventory Item,110.66,132.86,4/17/2023,10/29/2024
1303,Lays Chips 25 g (1 Shekel) (24 pcs),5,Inventory Item,9.21,11.95,3/29/2023,11/2/2023
1304,Britaim Tomatoes 400 g (1�24),4,Inventory Item,34.67,38.82,5/9/2023,1/13/2026
1306,Mesli Chips (1 Shekel),62,Inventory Item,97.13,129.94,6/25/2025,3/9/2027
1307,Pampers Pull-Ups New (1�4�23),2294,Inventory Item,90.29,123.83,6/5/2025,12/19/2025
1308,Hellmann�s Mayonnaise 394 g (1�12),13.667,Inventory Item,23.77,28.85,12/7/2023,6/5/2026
1309,Nescaf� Sticks with Extra (1�12),791,Inventory Item,26.7,42.24,1/4/2023,10/4/2025
1310,Hellmann�s Mayonnaise Large 789 g (�10),8.9,Inventory Item,45.72,71.08,11/23/2023,6/15/2026
1311,Metro Chocolate 50 g (1�6�18),3.833,Inventory Item,59.17,86.45,2/14/2024,7/29/2025
1314,Sensodyne Toothpaste 75 ml (Thin),6,Inventory Item,74.95,102.43,5/28/2025,2/17/2028
1315,Sensodyne Toothpaste 75 ml (Wide),17,Inventory Item,45.53,69.89,11/2/2023,2/21/2025
1316,Nutella B-Ready (1�16),4016,Inventory Item,56.58,65.93,6/26/2025,10/1/2026
1317,Kiwi Shoe Liquid Polish 75 ml (1�12),3,Inventory Item,90.2,134.87,8/29/2024,10/3/2026
1318,Kiwi Shoe Polish Tin 50 ml (1�12),422,Inventory Item,6.33,7.36,12/21/2024,10/6/2025
1319,Otan Insect Repellent Body Lotion 100 ml,16,Inventory Item,31.79,47.59,8/13/2023,8/6/2024
1320,Kiwi Shoe Sponge with Oil 7 ml (1�6),13,Inventory Item,86.18,106.68,12/14/2023,12/6/2025
1321,Goddards Liquid Shoe Polish 125 ml,4,Inventory Item,107.63,165.59,11/17/2023,5/30/2026
1322,Duck Toilet Gel Single 55 ml,84,Inventory Item,62.38,98.06,7/12/2024,3/12/2027
1323,Duck Toilet Blocks Quad 37�38.6 g,55,Inventory Item,64.79,76.09,6/30/2023,1/20/2024
1324,Glade Automatic Machine with Refill 269 ml,77,Inventory Item,14.65,19.5,9/9/2024,6/28/2027
1325,Glade Gel Air Freshener 70 ml,24,Inventory Item,54.79,87.14,12/11/2024,8/8/2027
1326,Glade Gel Air Freshener 150 g,13,Inventory Item,64.85,87.01,1/21/2024,7/26/2026
1327,Glade Liquid Refill 269 ml,42,Inventory Item,30.61,46.89,9/9/2024,5/3/2025
1328,Al-Hilal Halawa 600 g (1�12),6,Inventory Item,33.77,47.09,3/2/2025,2/24/2026
1330,Tomatoes Sibyl + Al-Shalla 400 g (1�24),47313,Inventory Item,46.52,59.9,2/10/2025,3/28/2026
1331,Duck Toilet Blocks Twin 80 ml,575,Inventory Item,4.37,5.43,4/18/2023,3/26/2026
1332,Digestive Original Biscuits 500 g (1�20),458,Inventory Item,40.01,48.08,6/14/2024,11/18/2025
1333,Pizza Sauce 680 g (1�12),487,Inventory Item,26.95,39.91,2/14/2024,12/1/2025
1335,Al-Furat Water Small,130,Inventory Item,40.64,52.56,10/23/2023,6/27/2026
1336,Al-Furat Water Cups,368,Inventory Item,16.13,21.87,3/28/2025,4/22/2027
1337,Oats 600 g (1�18),6874,Inventory Item,107.08,144.15,6/20/2023,3/15/2025
1338,Broken Chickpeas Sack 25 kg,23,Inventory Item,72.04,100.04,11/27/2023,1/11/2025
1339,Al-Zahraa Balsamic Vinegar (1�12),2.25,Inventory Item,82.13,125.89,5/7/2024,8/18/2025
1340,Al-Madina Rice 5 kg (1�4),3,Inventory Item,95.12,151.28,7/14/2023,8/9/2024
1341,Khayal Sunflower Oil 3 L (1�6),8108,Inventory Item,60.82,79.3,1/12/2023,3/24/2024
1342,Lenor Fabric Freshener 900 ml (1�12),302,Inventory Item,12.26,18.56,7/14/2023,6/22/2025
1343,Lotus Spread 400 g,1465,Inventory Item,65.38,96.91,5/4/2024,9/17/2026
1344,Baker�s Yeast Small,3660,Inventory Item,71.25,98.81,3/5/2025,4/17/2026
1345,Hi-Gel,220,Inventory Item,89.96,141.96,5/30/2025,7/9/2026
1347,Krouz Sukat Flour,103,Inventory Item,52.94,63.54,7/1/2023,8/14/2025
1348,Oreo Double Stuffed (9 pcs �16�48 g),154,Inventory Item,17.05,19.69,3/27/2025,12/4/2027
1349,Delight Chocolate-Covered Biscuits (1�12),68,Inventory Item,35.49,54.19,10/17/2024,6/23/2026
1351,Family Sugar (1�20),423.25,Inventory Item,44.84,59.17,6/16/2025,5/12/2028
1353,Faisal Rice 25 kg,51,Inventory Item,78.22,119.17,11/12/2023,6/6/2026
1354,Head & Shoulders Supreme Shampoo 400 ml (1�6),82.167,Inventory Item,69.35,107.25,11/24/2024,6/28/2026
1355,Dettol Spray 750 ml,60,Inventory Item,44.02,49.8,1/30/2023,4/10/2025
1357,Baking Powder Cans (Zabana) (1�12),84,Inventory Item,118.41,182.56,8/18/2024,3/21/2027
1358,Coco Pops Cereal Bags 360 g (1�12),74,Inventory Item,73.48,97.3,11/8/2024,8/2/2025
1360,Awsam Vermicelli 400 g (1�12),72,Inventory Item,29.99,40.64,3/6/2025,4/8/2027
1361,Glade Gas Air Freshener 330 ml (1�12),560,Inventory Item,14.01,19.8,3/3/2025,2/8/2028
1362,Fresh Syrup 3 L (1�4),554,Inventory Item,20.04,31.33,4/6/2023,3/27/2025
1363,Raid Liquid Twin + Device (90 Nights),8,Inventory Item,31.02,34.42,1/16/2024,5/28/2026
1364,Raid Liquid with Device Refill (45 Nights),12,Inventory Item,20.96,28.05,2/16/2025,6/19/2026
1366,Amanda Vermicelli 250 g (1�20),20,Inventory Item,24.01,34.67,3/19/2024,3/9/2027
1368,Top Cappuccino 25 g (1�20�9),0.6,Inventory Item,35.64,52.08,10/25/2023,3/30/2025
1370,Ferro Syrup 500 ml,168,Inventory Item,22.46,32.48,3/18/2025,11/23/2026
1372,Mabket Supreme Vermicelli 300 g (1�20),219,Inventory Item,107.82,125.85,1/6/2025,12/28/2025
1375,Shipping Cartons,48,Inventory Item,11.47,14.33,4/24/2025,3/8/2026
1376,Butter Cookies Heavy Tin 700 g (1�6),13.5,Inventory Item,63.89,81.74,12/27/2023,1/3/2025
1377,Pampers Wet Wipes Quad Pack (1�3�4),451.667,Inventory Item,50.43,75.76,1/9/2024,1/8/2025
1381,Raid Device + Tablets Twin (60 Nights),9,Inventory Item,117.92,146.15,7/7/2024,8/8/2025
1382,Raid Tablets (1�24),44,Inventory Item,15.22,18.35,10/30/2023,10/7/2024
1383,Raid Lavender Wardrobe Freshener 20 g,10,Inventory Item,48.95,77.28,2/25/2024,1/30/2025
1384,Ferro Syrup 500 ml (1�12),699,Inventory Item,116.4,128.56,9/3/2023,8/7/2025
1385,Break Biscuits 24 g (1�6�28),7,Inventory Item,104.13,166.49,12/20/2024,9/3/2027
1389,Al-Sultan Water 330 ml (1�12),26,Inventory Item,98.41,141.55,8/25/2023,10/13/2025
1390,Al-Sultan Water 500 ml (1�12),54,Inventory Item,32.43,49.11,6/17/2024,3/29/2027
1391,Diamond Food Wrap Nylon 100 ft (�24),0.667,Inventory Item,22.16,27.64,7/4/2023,2/10/2024
1392,Diamond Food Wrap Nylon 200 ft (�24),2.625,Inventory Item,80.9,89.57,4/12/2024,4/11/2027
1393,Diamond Food Wrap Nylon 300 ft (�24),2.208,Inventory Item,111.67,164.04,1/23/2025,2/16/2026
1394,Duracell Lithium Coin Battery 3V,70,Inventory Item,67.7,102.71,12/29/2023,7/6/2026
1395,Diamond Foil Roll No Cutter 5 m (1�24),12.167,Inventory Item,69.45,102.11,10/10/2023,8/16/2026
1396,Diamond Foil Roll No Cutter 8 m (1�48),2.5,Inventory Item,35.04,41.05,7/6/2024,10/3/2025
1397,Otan Family Repellent 50 ml,1,Inventory Item,92.8,137.04,12/2/2023,3/4/2025
1398,Al-Zaaboub Thyme Jar 500 g (1�6),443,Inventory Item,24.07,35.73,6/11/2023,8/14/2024
1399,Orbit Gum Jar (1�24�6),536,Inventory Item,40.19,57.44,6/9/2023,10/10/2024
1400,Samad Rice 5 kg (1�4),55.25,Inventory Item,52.2,77.42,4/18/2024,10/4/2026
1401,Benny Viva Chocolate (1�6�24),3,Inventory Item,61.9,94.27,8/23/2024,6/1/2027
1403,Hamdan Date Paste 700 g (1�15),12.333,Inventory Item,30.6,43.05,11/18/2023,10/2/2024
1404,Cadbury Dairy Milk Crispy,24,Inventory Item,15.55,17.79,1/12/2023,9/9/2025
1405,Brownie Cake Mix 519 g,1,Inventory Item,74.05,99.51,2/28/2024,2/22/2026
1406,Milo Loops Cereal 375 g (1�16),24,Inventory Item,36.06,41.07,3/14/2023,12/8/2025
1407,Turkish Sunflower Seeds 100 g (2 Shekel),779,Inventory Item,70.59,92.03,8/10/2024,7/29/2027
1408,Cadbury Dairy Milk Bar 100 g (1�12),4,Inventory Item,20.21,26.34,5/7/2025,4/16/2027
1410,Sweetened Condensed Milk (Laziza / Al-Malika / Imam) 390 g,670,Inventory Item,58.77,66.59,7/20/2023,3/12/2024
1412,Al-Awafi Rice 25 kg,5,Inventory Item,64.85,82.65,6/5/2024,3/23/2025
1413,Smile Candy,92,Inventory Item,8.12,9.38,5/13/2025,11/13/2025
1414,Mach 3 Start Blades (100-023),644,Inventory Item,41.72,62.75,5/19/2024,12/29/2025
1415,Fusion Start Blades (100-024),559,Inventory Item,17.86,28.11,1/7/2025,8/23/2026
1416,Clear Shampoo 600 ml (�12),24,Inventory Item,9.48,10.77,11/18/2024,11/14/2025
1418,Pampers Medium New Sizes 1�6 (1�4),10785,Inventory Item,118.82,187.45,2/26/2025,9/6/2025
1419,Fernano 2.5 kg Barrel,146,Inventory Item,40.04,54.51,2/8/2023,7/10/2024
1420,Cornflakes + Coco Pops Promo with Gift (1�6),57,Inventory Item,97.57,121.94,3/1/2023,11/1/2025
1421,Fuze Tea Iced Tea 1.5 L (1�6),6681,Inventory Item,32.05,36.49,7/31/2024,10/12/2025
1422,Fuze Tea Iced Tea 330 ml (1�24),27392,Inventory Item,82.42,111.29,11/17/2023,8/12/2024
1423,Rolls Royce Fingers 400 g,414,Inventory Item,91.71,137.31,3/10/2024,5/14/2026
1424,Ice Rio Coffee 180 ml (1�30),10781,Inventory Item,72.29,105.08,9/27/2024,9/2/2027
1425,Marina Tuna with Corn Small 95 g (1�48),134.75,Inventory Item,57.65,64.86,11/6/2024,4/2/2027
1426,Bonbon Chocolate Spread 290 g (1�24),27,Inventory Item,50.6,57.5,2/12/2024,4/16/2025
1428,Sesame Chick Crackers 100 g (1�24),324,Inventory Item,43.17,56.18,1/21/2024,3/30/2025
1430,Turkish Sunflower Seeds 40 g (1 Shekel),83,Inventory Item,111.68,139.34,11/1/2024,12/8/2026
1431,Diamond Heavy Foil 200 ft (1�12),7.083,Inventory Item,100.01,121.63,7/22/2024,7/4/2027
1432,Cologne 5 kg,64,Inventory Item,115.87,143.74,3/19/2023,12/31/2023
1434,Break Time + Break Happy + Break Delight + Break Day,1436.5,Inventory Item,16.67,25.03,7/13/2023,11/6/2025
1435,Vimto Sport Drink (1�24),5,Inventory Item,88.24,138.06,10/12/2023,11/23/2025
1436,Vimto Glass Bottle 330 ml (1�24),10,Inventory Item,112.72,146.82,6/10/2024,7/18/2026
1439,Kono Extra Munch Chips (60 bags),53,Inventory Item,23.39,36.33,6/7/2024,4/2/2026
1441,Leviva Milka Chocolate 35 g (1.5 Shekel) (1�6�24),39.333,Inventory Item,9.85,12.42,9/4/2024,11/15/2025
1442,Sondos Toilet Paper (1�24),2.667,Inventory Item,89.45,119.7,6/5/2023,8/31/2025
1443,Head & Shoulders Conditioner 275 ml (1�6),53,Inventory Item,69.79,84.66,12/6/2023,11/22/2026
1444,Nescaf� Alite 200 g Promo with Jam (1�16),2.25,Inventory Item,101.34,143.93,5/5/2023,8/8/2024
1447,Belaj Oil 473 ml,1,Inventory Item,18.49,29.39,5/20/2025,2/11/2026
1448,Pampers Newborn Size 1 (21 pads) (1�4),87,Inventory Item,95.84,134.34,10/7/2023,10/24/2024
1449,Hype Cool Drink 150 ml (1 Shekel) (1�24),2,Inventory Item,25.79,32.98,6/24/2025,1/5/2026
1450,Leon Family Chips 55 g (1�15),61,Inventory Item,21.31,30.34,9/13/2024,8/9/2025
1451,Tami Fava Beans 580 g (1�24),64.5,Inventory Item,21.38,24.83,4/25/2025,7/2/2026
1452,Pantene Hair Mask 300 ml (1�6),43,Inventory Item,98.12,151.53,5/18/2025,5/20/2026
1453,Betty Bear Anni Sugar 800 g (1�5),57,Inventory Item,80.49,108.79,10/19/2024,3/11/2026
1455,Sunsilk 600 ml Natural,184,Inventory Item,63.72,84.41,12/28/2024,12/21/2026
1456,Luna Black Iced Coffee 190 ml (1�24),122,Inventory Item,44.34,61.76,6/28/2025,2/15/2028
1457,Dettol Multi-Purpose Cleaner 1.5 L,14,Inventory Item,105.51,149.02,11/4/2024,6/3/2026
1458,Dettol Brown Liquid 1 L,435,Inventory Item,48.31,54.87,5/8/2023,4/3/2025
1460,Diamond Foil 5 m Triple Pack,54,Inventory Item,98.36,141.77,11/10/2023,8/9/2025
1462,Taks Chips 113 g (5 Shekel) (�16),38,Inventory Item,53.82,65.71,11/28/2023,4/20/2025
1463,Cologne 8 kg,21,Inventory Item,46.48,67.72,5/30/2023,2/22/2026
1464,Komili Toilet Paper (1�3),5,Inventory Item,56.6,85.54,3/29/2024,1/17/2027
1465,Heinz BBQ Sauce 200 g (�24),6.458,Inventory Item,37.56,56.41,2/5/2023,1/19/2024
1466,Heinz Hot Chili Sauce 195 g (�24),17.167,Inventory Item,90.22,124.17,11/15/2024,4/6/2027
1467,Pampers Old Carton,698,Inventory Item,61.32,83.4,2/24/2024,8/22/2025
1468,Nestl� Iced Coffee 250 g (1�24),20,Inventory Item,29.4,34.44,1/22/2023,1/14/2024
1469,Dove Shampoo Large 600 ml,533,Inventory Item,108.15,160.89,7/25/2023,11/5/2025
1470,Oral-B Stage Toothbrush Triple (101-021),56,Inventory Item,47.3,58.45,9/30/2024,3/25/2026
1473,Bredo Pads,46.6,Inventory Item,66.14,89.18,4/27/2025,11/22/2027
1474,Fun Chips 60 pcs (� Shekel),8,Inventory Item,108.96,135.34,12/22/2023,3/19/2026
1476,Turkish Coffee 100 g (1�51),99.137,Inventory Item,75.66,88.29,3/15/2024,10/25/2026
1477,Molto Cake (1 Shekel) 24 pcs + Mix,1,Inventory Item,15.79,22.34,12/29/2024,8/5/2025
1478,Absa Juice 232 ml (1�24),71,Inventory Item,112.9,127.26,4/6/2023,11/21/2024
1479,Fun Chips 40 pcs (1 Shekel),27,Inventory Item,76.07,112.15,6/13/2023,11/28/2024
1480,Al-Hana Chili Sauce Large 1 kg (1�6),6,Inventory Item,41.52,52.27,5/28/2023,8/4/2024
1481,Al-Hana Chili Sauce Small 450 g (1�12),10.5,Inventory Item,18.43,20.27,6/13/2024,5/1/2025
1483,Ketchup 650 g + Mayonnaise 550 g Promo (1�6),40.667,Inventory Item,95.69,129.71,10/21/2023,5/9/2026
1485,Halibna Milk Bag 2250 g (1�6),1.833,Inventory Item,75.17,84.45,7/14/2023,1/18/2026
1487,Fun Chips 25 g (100 pcs),27,Inventory Item,64.95,80.41,10/24/2024,8/22/2027
1488,Smart Chips (20 pcs),26,Inventory Item,107.48,156.22,4/24/2024,9/30/2026
1490,ZIPLOC Freezer Bags without Slider (1�12),109,Inventory Item,95.05,107.53,5/26/2025,6/21/2027
1491,ZIPLOC Freezer Bags with Slider (1�12),17,Inventory Item,19.9,30.24,5/3/2023,4/16/2026
1492,Al-Kasih Jameed Yogurt 1 kg (1�8),47,Inventory Item,38.78,42.73,2/4/2024,8/12/2024
1493,Maxima Air Freshener (1�6),2400,Inventory Item,31.32,38.32,11/29/2024,2/6/2027
1496,"Rima Kitchen Towels 3 Rolls, 3 Ply (1�6)",189,Inventory Item,89.79,132.03,3/27/2024,10/18/2024
1497,Al-Asala Sunflower Seeds 10 kg (1�2),129,Inventory Item,5.96,7.5,10/22/2024,6/14/2026
1498,Fakhouri Bonbon Full Mani 45 g (1�30),51,Inventory Item,69.25,79.7,4/14/2023,8/3/2025
1500,Orbit Pillow Gum Promo (1�20),70,Inventory Item,91.97,117.73,1/24/2025,2/28/2026
1501,Orbit Regular Gum Promo (1�30),98,Inventory Item,105.46,130.26,4/6/2024,2/2/2027
1502,Bredo Tissues 800 g (1�10),2.6,Inventory Item,42.37,64.46,1/12/2025,11/18/2026
1503,Coco Pops Jumbo Cereal Carton (20�375 g),4,Inventory Item,98.91,124.3,12/18/2024,2/7/2026
1504,Tuya Chili Sauce 473 ml (1�12),10,Inventory Item,15.05,22.49,12/10/2024,1/30/2026
1508,Tuya Natural Vinegar 473 ml (1�12),5,Inventory Item,101.88,157.5,1/31/2024,3/4/2025
1509,Tuya Chili Sauce 150 ml (1�18),10,Inventory Item,17.04,22.44,6/30/2025,4/27/2027
1511,Majhoul Dates 1 kg � Third Grade,35,Inventory Item,48.88,76.01,12/3/2023,9/3/2025
1512,Majhoul Dates 5 kg � Third Grade,45,Inventory Item,96.08,123.81,8/21/2024,12/11/2026
1514,Sunabel Semolina Pack (1�10),3,Inventory Item,19.69,31.15,5/22/2023,8/13/2025
1515,American Cereal,17,Inventory Item,29.05,33.25,11/13/2023,10/1/2024
1517,Similac Milk,1475,Inventory Item,87.23,125.92,12/11/2024,12/14/2025
1520,Paper Cups 7 oz,67,Inventory Item,86.96,117.13,7/11/2024,9/18/2025
1521,Cerelac Wheat Carton 200 g (1�9),72,Inventory Item,77.66,100.48,3/10/2025,11/12/2025
1522,Fitness Flakes Bags (12�450 g),2,Inventory Item,83.89,118.82,6/10/2024,8/14/2026
1523,Nesquik Flakes Bags 450 g (1�10),460,Inventory Item,66.04,95.89,7/9/2024,12/6/2025
1524,Galaxy Jewels Tin 600 g (1�8),3,Inventory Item,31.71,34.95,2/5/2024,6/4/2026
1526,Doritos 26 g (1 Shekel) (1�108),9,Inventory Item,42.79,50.64,11/11/2024,8/8/2027
1527,Lahloub Chips 50 g (1 Shekel) (1�48),2,Inventory Item,23.43,34.13,11/6/2023,9/24/2026
1528,Cheetos 18 g (1 Shekel) (1�76),45,Inventory Item,109.2,156.5,5/9/2024,12/18/2025
1529,Lays Family Size 104 g (1�23),45,Inventory Item,70.84,112.14,7/9/2024,10/31/2025
1533,Blue Three Razor Blades 6+2,18,Inventory Item,49.3,72.99,9/1/2024,8/24/2027
1534,Smacks Cereal (18�375 g),41,Inventory Item,56.52,89.04,2/11/2025,4/3/2027
1535,Skittles Fruits 38 g (�14),24,Inventory Item,113.78,165.13,4/19/2023,10/6/2024
1537,Jelly Jar (100 pcs),18,Inventory Item,20.1,25.11,3/5/2025,5/14/2026
